Table key:
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary
               process other than recombination.
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent 
               recombination event or off the edges of the analysed sequence fragments).
$            = This might not be breakpoint - it is likey the edge of a genome segment (possibly exchanged during reassortment)
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant)
Minor Parent = Parent contributing the smaller fraction of sequence.
Major Parent = Parent contributing the larger fraction of sequence.
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.
NS           = No significant P-value was recorded for this recombination event using the particular method in question.

,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to KF294457.1,,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1, 12092*, 20758, 11881*, 20544, 11786*, 20446,OP963576.1,KJ473815.1,EPI_ISL_852604, 1.021384E-294, 3.57124054764959E-257, 3.74587043771259E-299, 3.064152E-194, 3.01075939606599E-252,NS,NS,NS, 1.26157686402979E-316,
 1,,,,,,,,MG772933.1[P],KC881006.1,EPI_ISL_852605
 1,,,,,,,,MG772934.1[P],KF367457.1,OR233324.1
 1,,,,,,,,OK017803.1[P],OQ503500.1,OR233322.1
 1,,,,,,,,OK017804.1[P],OQ503501.1,OR233328.1
 1,,,,,,,,OK017805.1[P],KC881005.1,OR233323.1
 1,,,,,,,,OK017806.1,KY417152.1,
 1,,,,,,,,OK287355.1[P],KY417151.1,
 1,,,,,,,,OR233302.1,MK211376.1,
 1,,,,,,,,,OQ503505.1,
 1,,,,,,,,,OK017847.1,
 1,,,,,,,,,OK017848.1,
 1,,,,,,,,,OK017849.1,
 1,,,,,,,,,OK017850.1,
 1,,,,,,,,,OK017851.1,
 1,,,,,,,,,OQ503504.1,
 1,,,,,,,,,KY417144.1,
 1,,,,,,,,,OK017858.1,
 1,,,,,,,,,KY417150.1,
 1,,,,,,,,,KT444582.1,
 1,,,,,,,,,KY417146.1,
 1,,,,,,,,,OK017852.1,
 1,,,,,,,,,OK017855.1,
 1,,,,,,,,,OK017853.1,
 1,,,,,,,,,OK017854.1,
 1,,,,,,,,,OQ175345.1,
 1,,,,,,,,,OQ175347.1,
 1,,,,,,,,,OQ175344.1,
 1,,,,,,,,,OQ175346.1,
 1,,,,,,,,,OQ175348.1,
 1,,,,,,,,,OK017856.1,
 1,,,,,,,,,OK017857.1,
 1,,,,,,,,,FJ588686.1,
 1,,,,,,,,,KY417143.1,
 1,,,,,,,,,KY417149.1,
 1,,,,,,,,,MK211378.1,
 1,,,,,,,,,KY417147.1,
 1,,,,,,,,,KY417148.1,
 1,,,,,,,,,OQ503502.1,
 1,,,,,,,,,KY417142.1,
 1,,,,,,,,,MK211377.1,
 1,,,,,,,,,MK211375.1,
 1,,,,,,,,,OR233292.1,
 1,,,,,,,,,OR233304.1,
 1,,,,,,,,,OK017793.1,
 1,,,,,,,,,OQ175342.1,
 1,,,,,,,,,OR233293.1,
 1,,,,,,,,,OR233308.1,
 1,,,,,,,,,OR233296.1,
 1,,,,,,,,,OR233305.1,
 1,,,,,,,,,OR233306.1,
 1,,,,,,,,,OR233307.1,
 1,,,,,,,,,OR233297.1,
 1,,,,,,,,,OK017792.1,
 1,,,,,,,,,OR233291.1,
 1,,,,,,,,,OR233309.1,
 1,,,,,,,,,OR261264.1,
 1,,,,,,,,,OR261265.1,
 1,,,,,,,,,KJ473816.1,
 1,,,,,,,,,OK287354.1,
 1,,,,,,,,,OQ175350.1,
 1,,,,,,,,,KY770858.1,
 1,,,,,,,,,KY770859.1,
 1,,,,,,,,,OR233314.1,
 1,,,,,,,,,OR233312.1,
 1,,,,,,,,,OR233313.1,
 1,,,,,,,,,OR233301.1,
 1,,,,,,,,,OR233311.1,
 1,,,,,,,,,OR261266.1,
 1,,,,,,,,,OR261267.1,
 1,,,,,,,,,OR261268.1,
 1,,,,,,,,,OR261263.1,
 1,,,,,,,,,OR233303.1,
 1,,,,,,,,,OR261262.1,
 1,,,,,,,,,OR233294.1,
 1,,,,,,,,,OR233310.1,
 1,,,,,,,,,KY417145.1,
 1,,,,,,,,,DQ071615.1,
 1,,,,,,,,,KU973692.1,
 1,,,,,,,,,OR233325.1,
 1,,,,,,,,,OR233326.1,
 1,,,,,,,,,KP886808.1,
 1,,,,,,,,,KP886809.1,
 1,,,,,,,,,OP963575.1,

 2 ,4, 21006, 29262, 20766, 28174, 20694, 28080,^MW703458.1,MG772933.1,Unknown (EPI_ISL_412977), 1.29948698765112E-123, 1.50514648427878E-125,NS, 3.064152E-194, 3.22621093108782E-52,NS,NS,NS, 8.96718936934966E-255,
 2,,,,,,,,,MG772934.1,
 2,,,,,,,,,OK017805.1,

 3 ,5, 12958, 20792, 12721, 20552, 12652, 20480,MW703458.1,OR233299.1,MN908947.3, 2.96429724933957E-269, 2.92604915041826E-143,NS, 4.34717775108052E-204, 5.39129239467555E-19,NS,NS,NS, 1.021384E-294,
 3,,,,,,,,,OR233315.1,MZ937000.1
 3,,,,,,,,,OR233318.1,MZ937001.1
 3,,,,,,,,,OR233320.1,MZ937003.1
 3,,,,,,,,,OR233300.1,MN996532.2
 3,,,,,,,,,OR233316.1,RacCS20637
 3,,,,,,,,,OR233319.1,RacCS20583
 3,,,,,,,,,OR233321.1,RacCS20600b
 3,,,,,,,,,OR233317.1,RacCS20588
 3,,,,,,,,,OR233298.1,RacCS20605

 4 ,6, 1092, 21189, 843, 20674, 1070, 20877,^OK017841.1,OK017842.1,KF294457.1, 5.26750113021191E-146, 7.3813833675006E-166, 1.50488759972408E-147, 3.064152E-194, 3.064152E-194, 2.49425573877876E-111,NS,NS, 1.44497197057799E-250,

 5 ,7, 10026, 19614*, 9616, 19201*, 9720, 19302*,OK017814.1,OK017841.1,OQ503495.1, 6.26187538449685E-208, 1.23337129628976E-223, 8.84195795111628E-124, 6.6071477599814E-55, 9.01579141248271E-56, 2.32281020510309E-61,NS,NS, 9.3422429174008E-240,
 5,,,,,,,,OK017816.1,OK017843.1,OQ503496.1
 5,,,,,,,,OK017817.1,OK017842.1,
 5,,,,,,,,OK017818.1,,
 5,,,,,,,,OK017821.1,,
 5,,,,,,,,OK017820.1,,
 5,,,,,,,,OK017815.1,,
 5,,,,,,,,MW681002.1[P],,

 6 ,8, 21502, 25762, 20986, 25018, 21189, 25224,OK017842.1,Unknown (GQ153545.1),OK017843.1, 1.2558141712783E-27, 2.81724138247649E-30, 2.51372839791701E-95, 3.064152E-194, 5.11461057242427E-11,NS,NS,NS, 9.3963551033421E-238,
 6,,,,,,,,,Unknown(GQ153544.1),
 6,,,,,,,,,Unknown(GQ153546.1),
 6,,,,,,,,,Unknown(GQ153540.1),
 6,,,,,,,,,Unknown(GQ153539.1),
 6,,,,,,,,,Unknown(GQ153541.1),
 6,,,,,,,,,Unknown(DQ084199.1),
 6,,,,,,,,,Unknown(DQ022305.2),
 6,,,,,,,,,Unknown(DQ084200.1),
 6,,,,,,,,,Unknown(GQ153548.1),
 6,,,,,,,,,Unknown(GQ153547.1),

